id,hand,session,Accelerometer X,Accelerometer Y,Accelerometer Z,datetime
TD6,dx,dom,-0.176,-1.43,-1.727,2017-06-06 16:09:20.987500
TD6,dx,dom,0.043,-0.848,-1.168,2017-06-06 16:09:21.000000
TD6,dx,dom,0.332,-0.551,-0.426,2017-06-06 16:09:21.012500
TD6,dx,dom,0.594,-0.156,0.203,2017-06-06 16:09:21.025000
TD6,dx,dom,0.707,0.34,0.457,2017-06-06 16:09:21.037500
TD6,dx,dom,1.039,1.266,0.938,2017-06-06 16:09:21.050000
TD6,dx,dom,1.523,2.984,1.215,2017-06-06 16:09:21.062500
TD6,dx,dom,1.313,3.012,0.926,2017-06-06 16:09:21.075000
TD6,dx,dom,0.93,2.02,0.352,2017-06-06 16:09:21.087500
TD6,dx,dom,1.004,1.27,-0.406,2017-06-06 16:09:21.100000
TD6,dx,dom,1.438,0.52,-1.52,2017-06-06 16:09:21.112500
TD6,dx,dom,1.398,-0.043,-1.609,2017-06-06 16:09:21.125000
TD6,dx,dom,0.723,-0.02,-1.414,2017-06-06 16:09:21.137500
TD6,dx,dom,0.188,-0.156,-1.695,2017-06-06 16:09:21.150000
TD6,dx,dom,0.641,-0.766,-2.148,2017-06-06 16:09:21.162500
TD6,dx,dom,0.457,-0.934,-1.414,2017-06-06 16:09:21.175000
TD6,dx,dom,0.316,-1.18,-1.152,2017-06-06 16:09:21.187500
TD6,dx,dom,0.738,-1.328,-0.703,2017-06-06 16:09:21.200000
TD6,dx,dom,1.332,-1.109,-0.211,2017-06-06 16:09:21.212500
TD6,dx,dom,1.395,-0.641,-0.07,2017-06-06 16:09:21.225000
TD6,dx,dom,0.957,-0.242,-0.473,2017-06-06 16:09:21.237500
TD6,dx,dom,0.402,0.023,-0.555,2017-06-06 16:09:21.250000
TD6,dx,dom,-0.059,0.16,-0.785,2017-06-06 16:09:21.262500
TD6,dx,dom,-0.316,0.008,-1.5,2017-06-06 16:09:21.275000
TD6,dx,dom,-0.109,-0.172,-1.543,2017-06-06 16:09:21.287500
TD6,dx,dom,0.367,0.051,-1.352,2017-06-06 16:09:21.300000
TD6,dx,dom,0.941,0.238,-1.137,2017-06-06 16:09:21.312500
TD6,dx,dom,1.02,0.043,-1.066,2017-06-06 16:09:21.325000
TD6,dx,dom,0.676,-0.52,-1.383,2017-06-06 16:09:21.337500
TD6,dx,dom,0.25,-1.105,-1.723,2017-06-06 16:09:21.350000
TD6,dx,dom,0.375,-1.582,-2.078,2017-06-06 16:09:21.362500
TD6,dx,dom,0.93,-1.508,-1.895,2017-06-06 16:09:21.375000
TD6,dx,dom,1.277,-1.004,-1.539,2017-06-06 16:09:21.387500
TD6,dx,dom,1.012,-0.488,-1.27,2017-06-06 16:09:21.400000
TD6,dx,dom,0.781,-0.145,-0.949,2017-06-06 16:09:21.412500
TD6,dx,dom,1.016,0.273,-0.27,2017-06-06 16:09:21.425000
TD6,dx,dom,1.711,1.027,0.602,2017-06-06 16:09:21.437500
TD6,dx,dom,2.242,1.844,0.984,2017-06-06 16:09:21.450000
TD6,dx,dom,1.48,1.824,0.816,2017-06-06 16:09:21.462500
TD6,dx,dom,0.313,1.461,0.668,2017-06-06 16:09:21.475000
TD6,dx,dom,-0.523,1.332,0.563,2017-06-06 16:09:21.487500
TD6,dx,dom,-0.809,1.422,0.559,2017-06-06 16:09:21.500000
TD6,dx,dom,-0.723,1.578,0.75,2017-06-06 16:09:21.512500
TD6,dx,dom,-0.473,1.293,0.746,2017-06-06 16:09:21.525000
TD6,dx,dom,-0.195,0.793,0.602,2017-06-06 16:09:21.537500
TD6,dx,dom,0.027,0.266,0.445,2017-06-06 16:09:21.550000
TD6,dx,dom,0.152,-0.309,0.102,2017-06-06 16:09:21.562500
TD6,dx,dom,0.391,-1.723,-0.684,2017-06-06 16:09:21.575000
TD6,dx,dom,0.445,-3.047,-0.82,2017-06-06 16:09:21.587500
TD6,dx,dom,0.391,-3.73,-1.395,2017-06-06 16:09:21.600000
TD6,dx,dom,0.414,-3.184,-1.879,2017-06-06 16:09:21.612500
TD6,dx,dom,0.52,-2.148,-2.09,2017-06-06 16:09:21.625000
TD6,dx,dom,0.559,-1.289,-1.898,2017-06-06 16:09:21.637500
TD6,dx,dom,0.48,-0.934,-1.496,2017-06-06 16:09:21.650000
TD6,dx,dom,0.273,-0.602,-1.082,2017-06-06 16:09:21.662500
TD6,dx,dom,0.102,-0.199,-0.715,2017-06-06 16:09:21.675000
TD6,dx,dom,0.07,0.199,-0.445,2017-06-06 16:09:21.687500
TD6,dx,dom,0.191,0.32,-0.176,2017-06-06 16:09:21.700000
TD6,dx,dom,0.52,0.449,0.148,2017-06-06 16:09:21.712500
TD6,dx,dom,1.25,1.574,1.121,2017-06-06 16:09:21.725000
TD6,dx,dom,1.773,2.906,1.027,2017-06-06 16:09:21.737500
TD6,dx,dom,1.195,2.059,0.367,2017-06-06 16:09:21.750000
TD6,dx,dom,0.551,1.238,-0.387,2017-06-06 16:09:21.762500
TD6,dx,dom,0.426,0.719,-0.852,2017-06-06 16:09:21.775000
TD6,dx,dom,0.648,0.293,-0.918,2017-06-06 16:09:21.787500
TD6,dx,dom,1.027,-0.133,-0.719,2017-06-06 16:09:21.800000
TD6,dx,dom,1.441,-0.492,-0.742,2017-06-06 16:09:21.812500
TD6,dx,dom,1.426,-0.617,-0.848,2017-06-06 16:09:21.825000
TD6,dx,dom,1.461,-0.559,-1.02,2017-06-06 16:09:21.837500
TD6,dx,dom,1.613,-0.324,-1.367,2017-06-06 16:09:21.850000
TD6,dx,dom,1.508,-0.125,-1.406,2017-06-06 16:09:21.862500
TD6,dx,dom,1.0,-0.055,-1.211,2017-06-06 16:09:21.875000
TD6,dx,dom,0.586,0.078,-0.965,2017-06-06 16:09:21.887500
TD6,dx,dom,0.406,0.324,-0.805,2017-06-06 16:09:21.900000
TD6,dx,dom,0.461,0.523,-0.465,2017-06-06 16:09:21.912500
TD6,dx,dom,0.691,0.738,-0.211,2017-06-06 16:09:21.925000
TD6,dx,dom,0.891,0.66,-0.426,2017-06-06 16:09:21.937500
TD6,dx,dom,0.758,0.277,-0.543,2017-06-06 16:09:21.950000
TD6,dx,dom,0.602,-0.016,-0.508,2017-06-06 16:09:21.962500
TD6,dx,dom,0.543,-0.219,-0.426,2017-06-06 16:09:21.975000
TD6,dx,dom,0.621,-0.422,-0.422,2017-06-06 16:09:21.987500
TD6,dx,dom,0.879,-0.504,-0.41,2017-06-06 16:09:22.000000
TD6,dx,dom,1.242,-0.621,-0.738,2017-06-06 16:09:22.012500
TD6,dx,dom,1.473,-0.41,-0.758,2017-06-06 16:09:22.025000
TD6,dx,dom,1.332,-0.051,-0.359,2017-06-06 16:09:22.037500
TD6,dx,dom,0.926,0.238,-0.297,2017-06-06 16:09:22.050000
TD6,dx,dom,0.484,0.418,-0.398,2017-06-06 16:09:22.062500
TD6,dx,dom,0.305,0.523,-0.359,2017-06-06 16:09:22.075000
TD6,dx,dom,0.402,0.492,-0.441,2017-06-06 16:09:22.087500
TD6,dx,dom,0.906,0.094,-0.934,2017-06-06 16:09:22.100000
TD6,dx,dom,1.438,-0.461,-1.059,2017-06-06 16:09:22.112500
TD6,dx,dom,1.305,-0.406,-1.035,2017-06-06 16:09:22.125000
TD6,dx,dom,0.988,-0.234,-1.129,2017-06-06 16:09:22.137500
TD6,dx,dom,0.828,-0.168,-1.211,2017-06-06 16:09:22.150000
TD6,dx,dom,0.887,-0.203,-1.266,2017-06-06 16:09:22.162500
TD6,dx,dom,1.125,-0.188,-1.207,2017-06-06 16:09:22.175000
TD6,dx,dom,1.328,-0.012,-0.973,2017-06-06 16:09:22.187500
TD6,dx,dom,1.422,0.211,-0.645,2017-06-06 16:09:22.200000
TD6,dx,dom,1.398,0.398,-0.297,2017-06-06 16:09:22.212500
TD6,dx,dom,1.316,0.574,0.02,2017-06-06 16:09:22.225000
TD6,dx,dom,1.156,0.762,0.207,2017-06-06 16:09:22.237500
TD6,dx,dom,0.945,0.91,0.297,2017-06-06 16:09:22.250000
TD6,dx,dom,0.734,0.992,0.34,2017-06-06 16:09:22.262500
TD6,dx,dom,0.57,1.07,0.277,2017-06-06 16:09:22.275000
TD6,dx,dom,0.449,1.043,0.07,2017-06-06 16:09:22.287500
TD6,dx,dom,0.352,0.867,-0.133,2017-06-06 16:09:22.300000
TD6,dx,dom,0.254,0.676,-0.281,2017-06-06 16:09:22.312500
TD6,dx,dom,0.176,0.547,-0.359,2017-06-06 16:09:22.325000
TD6,dx,dom,0.125,0.441,-0.375,2017-06-06 16:09:22.337500
TD6,dx,dom,0.164,0.305,-0.465,2017-06-06 16:09:22.350000
TD6,dx,dom,0.262,0.082,-0.598,2017-06-06 16:09:22.362500
TD6,dx,dom,0.395,-0.289,-0.824,2017-06-06 16:09:22.375000
TD6,dx,dom,0.406,-0.5,-0.746,2017-06-06 16:09:22.387500
TD6,dx,dom,0.324,-0.402,-0.723,2017-06-06 16:09:22.400000
TD6,dx,dom,0.313,-0.227,-0.871,2017-06-06 16:09:22.412500
