Axis1,Axis2,Axis3,hand,session,datetime,id
64,102,66,dx,dom,2017-05-16 16:40:48,TD0
59,109,67,dx,dom,2017-05-16 16:40:49,TD0
34,120,87,dx,dom,2017-05-16 16:40:50,TD0
61,52,120,dx,dom,2017-05-16 16:40:51,TD0
43,65,84,dx,dom,2017-05-16 16:40:52,TD0
52,79,83,dx,dom,2017-05-16 16:40:53,TD0
98,79,92,dx,dom,2017-05-16 16:40:54,TD0
80,65,86,dx,dom,2017-05-16 16:40:55,TD0
91,79,80,dx,dom,2017-05-16 16:40:56,TD0
70,72,115,dx,dom,2017-05-16 16:40:57,TD0
131,121,105,dx,dom,2017-05-16 16:40:58,TD0
40,108,9,dx,dom,2017-05-16 16:40:59,TD0
79,145,35,dx,dom,2017-05-16 16:41:00,TD0
118,87,71,sx,ndom,2017-05-16 16:42:35,TD0
90,58,85,sx,ndom,2017-05-16 16:42:36,TD0
137,79,84,sx,ndom,2017-05-16 16:42:37,TD0
44,70,45,sx,ndom,2017-05-16 16:42:38,TD0
80,66,57,sx,ndom,2017-05-16 16:42:39,TD0
74,94,125,sx,ndom,2017-05-16 16:42:40,TD0
68,102,54,sx,ndom,2017-05-16 16:42:41,TD0
61,76,76,sx,ndom,2017-05-16 16:42:42,TD0
70,78,87,sx,ndom,2017-05-16 16:42:43,TD0
72,72,80,sx,ndom,2017-05-16 16:42:44,TD0
94,98,67,sx,ndom,2017-05-16 16:42:45,TD0
65,128,90,sx,ndom,2017-05-16 16:42:46,TD0
38,126,68,sx,ndom,2017-05-16 16:42:47,TD0
68,100,34,sx,ndom,2017-05-16 16:42:48,TD0
120,65,70,sx,ndom,2017-05-16 16:42:49,TD0
63,129,60,sx,ndom,2017-05-16 16:42:50,TD0
47,87,61,sx,ndom,2017-05-16 16:42:51,TD0
46,83,52,sx,ndom,2017-05-16 16:42:52,TD0
62,95,40,sx,ndom,2017-05-16 16:42:53,TD0
47,63,49,sx,ndom,2017-05-16 16:42:54,TD0
87,102,79,sx,ndom,2017-05-16 16:42:55,TD0
85,75,73,sx,ndom,2017-05-16 16:42:56,TD0
68,71,67,sx,ndom,2017-05-16 16:42:57,TD0
